1.0000	0.7302	0.6548	0.4465	0.5518	0.4204	0.4687	0.4567	0.2176	0.1979	0.4247	0.4714	0.4009	0.5054	0.5653	0.2356	0.3219	0.3480	0.2393	0.2849	0.0746	0.2097	0.2428	0.1906	0.1979	0.1496	0.1975	0.0582	0.2611	0.1562	0.2176	0.1702	0.1431	0.1906	0.2008	0.1562	0.1474	0.1133	0.1307	0.3480	0.1133	0.1179	0.0735	0.2176	0.0000	0.5653	0.2428	0.1431	0.1741	0.1442	0.2008	0.1617	0.0872	0.1007	0.1741	0.0557	0.1669	0.1906	0.1431	0.1007	0.1137	0.1307	0.1421	0.1803	0.1421	0.1179	0.2097	0.1562	0.1474	0.1542	0.2611	0.2549	0.2887	0.4166	0.2329	0.2599	0.3045	0.2257	0.2428	0.2665	0.4411
0.7302	1.0000	0.6514	0.5920	0.4851	0.3242	0.4143	0.4425	0.2393	0.2232	0.3029	0.3755	0.4201	0.3708	0.3693	0.1611	0.2701	0.1485	0.2397	0.3187	0.1058	0.2218	0.2335	0.1191	0.2232	0.1009	0.0175	0.0706	0.1548	0.1286	0.2535	0.2650	0.2096	0.2030	0.2761	0.2593	0.1579	0.1728	0.1591	0.0442	0.1728	0.1721	0.0557	0.2701	0.0000	0.5945	0.1910	0.1218	0.1548	0.0990	0.1484	0.1311	0.0703	0.0772	0.1548	0.0353	0.1591	0.1611	0.1657	0.1191	0.2568	0.1785	0.1906	0.2535	0.1007	0.1286	0.2218	0.2168	0.2514	0.2863	0.2393	0.2180	0.2650	0.4604	0.3464	0.3755	0.2816	0.2706	0.2335	0.2277	0.3483
0.6548	0.6514	1.0000	0.5747	0.4472	0.3916	0.2512	0.3682	0.2419	0.2205	0.3682	0.3532	0.3532	0.4336	0.4852	0.2593	0.2924	0.2419	0.2629	0.3478	0.1848	0.2342	0.2663	0.2157	0.2594	0.2309	0.2224	0.1318	0.1997	0.1452	0.2135	0.1959	0.2135	0.1721	0.3071	0.2567	0.2224	0.1913	0.2450	0.3682	0.2419	0.2567	0.1179	0.1155	0.0000	0.5788	0.2256	0.1760	0.2419	0.1708	0.2256	0.2328	0.2419	0.2157	0.1997	0.1286	0.2450	0.2593	0.2884	0.2157	0.2868	0.1576	0.1946	0.2135	0.1179	0.0709	0.1959	0.1355	0.1252	0.1629	0.2419	0.2328	0.2342	0.3864	0.2196	0.2010	0.1997	0.1708	0.1848	0.1708	0.3231
0.4465	0.5920	0.5747	1.0000	0.5892	0.4158	0.3184	0.3975	0.2113	0.1505	0.2654	0.2895	0.2539	0.3201	0.3671	0.1841	0.3165	0.2113	0.1784	0.2367	0.0671	0.2432	0.2791	0.1388	0.1505	0.1999	0.1405	0.0506	0.1237	0.1108	0.1362	0.1635	0.1362	0.1388	0.2367	0.1881	0.1405	0.1061	0.1237	0.2488	0.2113	0.1494	0.0314	0.0798	0.0000	0.1237	0.1943	0.1737	0.2113	0.0963	0.0671	0.0611	0.1675	0.0934	0.1237	0.0028	0.1237	0.1841	0.0611	0.0028	0.1710	0.1237	0.1006	0.1362	0.1352	0.1881	0.2432	0.1778	0.1911	0.2184	0.3866	0.2488	0.2432	0.3427	0.2268	0.2539	0.2989	0.2195	0.3215	0.2606	0.4366
0.5518	0.4851	0.4472	0.5892	1.0000	0.4470	0.5392	0.5852	0.3364	0.3374	0.3287	0.3532	0.3936	0.3135	0.3087	0.1419	0.1539	0.3779	0.1705	0.1972	-0.0141	0.1380	0.1571	0.1419	0.2132	0.1344	0.1386	0.0775	0.1705	0.1313	0.1245	0.1772	0.2041	0.1419	0.2374	0.2498	0.1864	0.1041	0.1978	0.2890	0.1539	0.1708	0.0628	0.1290	0.0000	-1.0000	0.1170	0.1643	0.1290	0.1057	0.0768	0.1112	0.0875	0.0990	0.1705	0.0561	0.1577	0.1848	0.0449	0.0561	0.2002	0.1772	0.2257	0.1643	0.1850	0.2103	0.2555	0.3320	0.3300	0.3532	0.2949	0.3334	0.3731	0.5518	0.3287	0.3532	0.2949	0.3390	0.3578	0.3001	0.3779
0.4204	0.3242	0.3916	0.4158	0.4470	1.0000	0.3785	0.4007	0.3645	0.4601	0.3916	0.4730	0.5209	0.2341	0.4229	0.1891	0.2329	-0.3963	0.2010	0.1768	0.1310	0.3034	0.1768	0.1440	0.1656	0.1662	0.2163	0.0493	0.1376	0.1576	0.1982	0.1177	0.2925	0.0989	0.1768	0.1108	0.2163	0.1850	0.1444	0.2295	0.0891	0.1576	0.1790	0.1610	0.0000	0.2010	0.1310	0.2925	0.2283	0.1705	0.1310	0.1503	0.0014	0.0088	0.1376	0.0088	0.0968	0.1891	0.1510	-0.1673	0.1019	0.0248	0.1307	0.0567	0.0341	0.2044	0.0712	0.1093	0.1702	0.2334	0.3191	0.2845	0.3499	0.4204	0.2980	0.2334	0.3191	0.4470	0.3597	0.4009	0.1951
0.4687	0.4143	0.2512	0.3184	0.5392	0.3785	1.0000	0.5006	0.3645	0.3129	0.2980	0.3292	0.4250	0.2341	0.2454	0.1440	0.1371	0.2809	0.0012	0.0853	-0.0263	0.0248	-0.0263	-0.1673	0.1165	0.0099	-0.0712	0.0968	0.0468	0.0640	0.0567	0.1177	0.1039	0.0989	0.1310	0.1576	0.0320	0.1371	0.0493	0.0583	0.0891	0.0640	0.0341	0.0412	0.0000	0.2010	0.1768	0.1039	0.0468	0.0322	0.0853	0.1056	0.1376	0.1440	0.0922	0.0989	0.1444	0.2341	0.2454	0.1440	0.1518	0.2105	0.2273	0.1510	0.1790	0.2044	0.1177	0.2083	0.1242	0.2334	0.2283	0.1503	0.2105	0.2756	0.2044	0.2813	0.2737	0.3087	0.2682	0.2166	0.1951
0.4567	0.4425	0.3682	0.3975	0.5852	0.4007	0.5006	1.0000	0.5404	0.7791	0.5262	0.6227	0.6766	0.6452	0.5506	0.2904	0.3602	0.4137	0.2671	0.4340	0.2282	0.3731	0.2797	0.2397	0.3926	0.1842	0.1077	0.3048	0.2851	0.3156	0.3102	0.3208	0.4163	0.2904	0.3311	0.5262	0.3060	0.3110	0.5187	0.2461	0.3602	0.4209	0.2393	0.2964	0.0000	0.6091	0.3311	0.3102	0.3362	0.2223	0.2282	0.1951	0.2851	0.4425	0.3872	0.2904	0.4117	0.3918	0.3102	0.2397	0.4948	0.2686	0.4567	0.4163	0.3480	0.4209	0.3208	0.4990	0.4547	0.5688	0.3362	0.2957	0.4253	0.4023	0.4209	0.3532	0.3362	0.4816	0.3311	0.2742	0.2957
0.2176	0.2393	0.2419	0.2113	0.3364	0.3645	0.3645	0.5404	1.0000	0.7350	0.6209	0.6981	0.6119	0.4506	0.5007	0.3661	0.3137	0.2647	0.2851	0.2591	0.1768	0.2477	0.2179	0.2393	0.2049	0.2540	0.1044	0.1871	0.1830	0.2419	0.1935	0.2477	0.4057	0.2816	0.3414	0.3261	0.3401	0.4608	0.2727	0.2997	0.2647	0.2840	0.3915	0.1421	0.0000	0.5915	0.3003	0.3633	0.3464	0.3364	0.3003	0.2997	0.2238	0.2393	0.2647	0.2816	0.2727	0.3661	0.4057	0.2393	0.3264	0.2895	0.3045	0.3208	0.3480	0.3261	0.2059	0.3320	0.2929	0.3101	0.2647	0.2559	0.3731	0.3045	0.3261	0.2669	0.2647	0.3364	0.1768	0.1290	0.1684
0.1979	0.2232	0.2205	0.1505	0.3374	0.4601	0.3129	0.7791	0.7350	1.0000	0.6882	0.6060	0.5344	0.6344	0.7055	0.3602	0.3639	0.4699	0.3374	0.3588	0.2733	0.2772	0.2733	0.3602	0.2380	0.2510	0.1845	0.1533	0.2491	0.2594	0.2806	0.3173	0.3942	0.4516	0.3160	0.3374	0.3884	0.4169	0.3374	0.3374	0.2049	0.2594	0.3025	0.0724	0.0000	0.5583	0.2305	0.3185	0.4257	0.2960	0.2733	0.2901	0.2491	0.3146	0.2491	0.2689	0.3006	0.5887	0.3563	0.3146	0.3938	0.3173	0.3723	0.3563	0.3025	0.2984	0.1968	0.2318	0.3884	0.3195	0.2049	0.1954	0.3976	0.2677	0.2594	0.1762	0.2049	0.3788	0.2305	0.2132	0.1954
