        F9A4   F5C1   F9D6
F10A3	1.00000	0.28571	0.55556	
F10A5	0.00000	0.00000	0.00000	
F10B3	0.00000	0.00000	0.00000	
F10B5	1.00000	1.00000	0.88889	
F10C1	0.00000	0.00000	1.00000	
F10C3	1.00000	0.71429	1.00000	
F10C4	1.00000	0.00000	0.11111	
F10D1	1.00000	0.14286	0.88889	
F10D5	0.00000	0.00000	0.00000	
F10E3	0.00000	0.00000	0.00000	
F10E5	1.00000	1.00000	0.66667	
F10F1	1.00000	0.71429	0.77778	
F10F3	0.00000	0.00000	0.75000	
F10F5	0.00000	0.00000	0.55556	
F10G2	0.00000	0.71429	0.11111	
F11A3	1.00000	1.00000	0.55556	
F11A6	1.00000	0.00000	0.00000	
F11B1	0.00000	0.14286	0.44444	
F11B2	0.00000	0.00000	0.77778	
F11B5	0.00000	0.00000	0.33333	
F11C2	1.00000	0.42857	1.00000	
F11D1	0.00000	0.28571	0.77778	
F11D2	0.00000	0.42857	0.00000	
F11D4	1.00000	0.57143	0.22222	
F11G3	0.00000	0.28571	0.33333	
F11G4	0.00000	0.00000	1.00000	
F12B1	0.00000	0.00000	1.00000	
F12B2	0.00000	0.00000	0.00000	
F12B3	0.00000	0.42857	0.00000	
F12C6	0.00000	0.00000	0.55556	
F12D4	0.00000	0.00000	0.00000	
F12E1	1.00000	1.00000	0.44444	
F12E4	0.00000	0.00000	0.12500	
F12E5	1.00000	0.00000	0.11111	
F12E6	0.00000	0.00000	0.66667	
F12F1	0.00000	0.00000	1.00000	
F12F5	1.00000	0.71429	0.44444	
F12G1	0.00000	0.00000	0.66667	
F15A3	0.00000	0.00000	0.00000	
F15A5	0.00000	0.00000	0.25000	
F15A6	0.00000	0.42857	0.00000	
F15B5	0.00000	0.00000	1.00000	
F15C5	1.00000	0.14286	0.33333	
F15C6	0.00000	0.00000	0.00000	
F15C8	0.00000	0.14286	0.22222	
F15D1	1.00000	0.71429	0.11111	
F15D2	0.00000	0.14286	0.55556	
F15E1	0.00000	0.57143	0.00000	
F15E2	1.00000	0.00000	0.33333	
F15E4	0.00000	0.20000	0.00000	
F15E5	0.00000	0.00000	0.33333	
F15E7	1.00000	0.42857	0.11111	
F15F1	0.00000	0.00000	0.00000	
F15F3	0.00000	0.00000	0.00000	
F15F5	0.00000	0.00000	0.44444	
F15F6	0.00000	0.00000	0.00000	
F15F8	0.00000	0.00000	0.80000	
F15H1	0.00000	0.14286	0.11111	
F15H5	0.00000	0.14286	0.11111	
F16A2	0.00000	0.00000	0.00000	
F16A4	0.00000	0.00000	0.00000	
F16A5	1.00000	0.85714	0.11111	
F16B1	0.00000	0.00000	0.00000	
F16B2	0.00000	0.28571	0.00000	
F16B3	0.00000	0.00000	0.00000	
F16B6	0.00000	0.00000	0.88889	
F16C1	0.00000	0.33333	0.00000	
F16D6	0.00000	0.00000	0.57143	
F16F4	0.00000	1.00000	0.00000	
F16G3	0.00000	1.00000	0.00000	
F16G4	0.00000	0.28571	0.00000	
F16G6	0.00000	0.00000	1.00000	
F17A7	0.00000	0.28571	0.00000	
F17B1	0.00000	0.00000	0.77778	
F17B7	0.00000	0.14286	0.00000	
F17C1	1.00000	0.42857	0.11111	
F17C2	1.00000	0.14286	0.00000	
F17C7	1.00000	0.14286	0.22222	
F17D6	0.00000	0.00000	0.00000	
F17E6	0.00000	0.00000	0.00000	
F17E7	0.00000	0.00000	0.00000	
F17F3	1.00000	0.14286	0.00000	
F17F5	0.00000	0.14286	0.11111	
F17G3	1.00000	0.14286	0.22222	
F17G5	0.00000	0.14286	0.11111	
F18B2	0.00000	0.14286	0.44444	
F18B4	0.00000	0.14286	0.11111	
F18C4	0.00000	0.00000	0.80000	
F18D2	0.00000	0.16667	0.00000	
F18E1	0.00000	0.57143	0.00000	
F18E2	0.00000	0.00000	0.60000	
F18F2	0.00000	0.00000	0.14286	
F3F1	1.00000	0.71429	0.55556	
F5A2	0.00000	0.14286	0.00000	
F5A4	0.00000	0.85714	0.00000	
F5B1	1.00000	1.00000	0.00000	
F5B2	1.00000	0.57143	0.00000	
F5B3	0.00000	0.14286	0.00000	
F5B4	0.00000	0.14286	0.00000	
F5C1	0.00000	1.00000	0.00000	
F5C2	0.00000	0.25000	0.00000	
F5C4	0.00000	0.00000	0.00000	
F5D1	0.00000	0.33333	0.00000	
F5E2	0.00000	1.00000	0.00000	
F5E4	0.00000	0.14286	0.00000	
F5F2	0.00000	0.16667	0.00000	
